LABELS
SEPARATOR TAB
DATA
N2	k__Archaea
N575	p__Candidatus Poribacteria
N576	p__Candidatus Hydrogenedentes
N583	p__Candidatus Tectomicrobia
N585	p__Acidobacteria_1; c__Holophagae; o__Holophagales
N589	p__Proteobacteria
N600	f__Thermofilaceae; g__Thermofilum
N601	f__Thermoproteaceae
N602	o__Desulfurococcales_3; f__Desulfurococcaceae_2; g__Ignicoccus
N606	s__Methanocaldococcus villosus
N610	g__Methanothermobacter
N611	g__Methanobacterium
N614	f__Haloferacaceae
N615	f__Halorubraceae
N616	f__Halococcaceae; g__Halococcus
N618	o__Halobacteriales_2; f__Halobacteriaceae_1
N619	o__Natrialbales; f__Natrialbaceae
N623	g__Archaeoglobus_1
N624	g__Methanocorpusculum
N625	f__Methanomicrobiaceae_1
N648	p__Candidatus Levybacteria
N673	p__Candidatus Kerfeldbacteria
N675	p__Candidatus Jacksonbacteria
N676	p__Candidatus Veblenbacteria
N704	o__Eggerthellales; f__Eggerthellaceae
N705	o__Coriobacteriales
N707	o__Solirubrobacterales_1
N708	c__Acidimicrobiia; o__Acidimicrobiales
N719	p__Caldiserica; c__Caldisericia; o__Caldisericales; f__Caldisericaceae; g__Caldisericum
N720	p__Firmicutes_8; c__Clostridia_10; o__Thermoanaerobacterales_4; f__Thermodesulfobiaceae; g__Coprothermobacter
N725	s__Fuchsiella alkaliacetigena
N726	g__Halanaerobium
N727	g__Thermaerobacter
N729	o__Veillonellales; f__Veillonellaceae
N732	c__Clostridia_5; o__Thermoanaerobacterales
N735	p__Firmicutes_6; c__Bacilli_2; o__Bacillales_4
N743	s__Borreliella garinii
N764	f__Holophagaceae
N766	p__Acidobacteria
N767	p__Chrysiogenetes; c__Chrysiogenetes; o__Chrysiogenales; f__Chrysiogenaceae
N768	p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae
N770	p__Proteobacteria_1
N784	o__Sulfolobales
N786	s__Acidiplasma aeolicum
N789	g__Methanothermococcus
N790	g__Methanococcus
N794	g__Methanosphaera
N795	g__Methanobrevibacter
N801	f__Haloarculaceae_1; g__Natronomonas
N803	g__Haladaptatus
N811	f__Methanoregulaceae
N812	f__Methanomicrobiaceae
N814	f__Methanosaetaceae; g__Methanosaeta
N826	c__Dehalococcoidia
N844	p__Candidatus Gottesmanbacteria
N873	p__Candidatus Kuenenbacteria
N874	p__Candidatus Komeilibacteria
N884	p__Candidatus Yanofskybacteria
N906	o__Synechococcales
N908	g__Slackia
N910	f__Coriobacteriaceae
N911	f__Atopobiaceae
N912	f__Patulibacteraceae; g__Patulibacter
N913	f__Solirubrobacteraceae
N914	f__Acidimicrobiaceae_1; g__Ferrimicrobium
N915	f__Acidimicrobiaceae
N916	c__Actinobacteria
N918	s__Leptotrichia goodfellowii
N919	s__Streptobacillus notomytis
N921	s__Fusobacterium necrophorum
N922	g__Acetomicrobium
N923	g__Thermovirga
N927	o__Thermotogales
N934	o__Acidaminococcales; f__Acidaminococcaceae
N935	o__Selenomonadales
N937	g__Tepidanaerobacter
N941	c__Clostridia
N943	f__Alicyclobacillaceae
N944	p__Firmicutes_2; c__Bacilli_1; o__Bacillales_1
N947	s__Leptospira noguchii
N949	s__Borrelia duttonii
N951	s__Borrelia hermsii
N969	p__Planctomycetes
N971	p__Chlamydiae; c__Chlamydiia
N975	p__Candidatus Cloacimonetes
N979	p__Candidatus Aminicenantes
N983	p__Candidatus Calescamantes
N984	p__Aquificae; c__Aquificae
N985	c__Deltaproteobacteria_6; o__Desulfurellales; f__Desulfurellaceae
N986	c__Epsilonproteobacteria
N988	c__Alphaproteobacteria
N992	p__Proteobacteria_2; c__Deltaproteobacteria
N994	c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
N995	c__
N998	g__Thermoproteus
N999	g__Pyrobaculum
N1001	g__Vulcanisaeta
N1003	f__Sulfolobaceae
N1004	g__Candidatus Methanomethylophilus
N1020	f__Haloarculaceae
N1023	g__Geoglobus
N1027	g__Methanofollis
N1028	g__Methanoculleus
N1030	s__Methanosaeta harundinacea
N1032	f__Candidatus Methanoperedenaceae; g__Candidatus Methanoperedens
N1033	f__Methanosarcinaceae
N1038	o__Anaerolineales
N1043	o__; f__; g__Dehalogenimonas
N1044	o__Dehalococcoidales; f__Dehalococcoidaceae; g__Dehalococcoides; s__Dehalococcoides mccartyi
N1068	p__Candidatus Beckwithbacteria
N1071	p__Candidatus Amesbacteria
N1072	p__Candidatus Blackburnbacteria
N1073	p__Candidatus Woesebacteria
N1094	p__Candidatus Falkowbacteria
N1107	p__Candidatus Portnoybacteria
N1108	p__Candidatus Terrybacteria
N1110	p__Candidatus Azambacteria
N1118	s__Chthonomonas calidirosea
N1130	f__Synechococcaceae; g__Synechococcus; s__Candidatus Synechococcus spongiarum
N1137	g__Collinsella
N1156	o__Kosmotogales; f__Kosmotogaceae
N1157	o__Petrotogales; f__
N1158	f__Fervidobacteriaceae
N1159	f__Thermotogaceae
N1162	o__Clostridiales_3; f__Peptococcaceae
N1163	g__Dialister
N1164	g__Megasphaera
N1165	g__Veillonella
N1167	f__Sporomusaceae
N1168	f__Selenomonadaceae
N1172	f__Thermoanaerobacteraceae_3; g__Caldanaerobius
N1174	c__Clostridia_1; o__Clostridiales_1; f__Clostridiaceae
N1176	o__Thermoanaerobacterales_1; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor
N1177	o__Clostridiales
N1183	p__Firmicutes; c__Bacilli
N1194	s__Treponema primitia
N1207	p__Candidatus Omnitrophica
N1208	c__Planctomycetia_1; o__Candidatus Brocadiales
N1210	p__Lentisphaerae
N1211	p__Verrucomicrobia
N1213	o__Chlamydiales; f__Chlamydiaceae; g__Chlamydia
N1217	p__Candidatus Glassbacteria
N1218	p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales
N1221	p__Fibrobacteres
N1226	c__Blastocatellia
N1232	g__Hippea
N1233	o__Nautiliales; f__Nautiliaceae
N1234	o__Campylobacterales
N1237	c__Zetaproteobacteria
N1240	p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae
N1245	g__Candidatus Nitrosocosmicus
N1252	g__Caldivirga
N1254	o__Desulfurococcales; f__Desulfurococcaceae
N1257	g__Sulfolobus
N1259	s__Methanococcus maripaludis
N1265	g__Haloferax
N1267	g__Halolamina
N1277	s__Archaeoglobus fulgidus
N1279	g__Methanoregula
N1286	g__Methanosarcina
N1349	p__Candidatus Buchananbacteria
N1366	p__Candidatus Spechtbacteria
N1371	p__Candidatus Sungbacteria
N1388	o__Synechococcales_4; f__Pseudanabaenaceae; g__Pseudanabaena
N1390	g__Denitrobacterium
N1391	g__Eggerthella
N1394	g__Enorma
N1397	g__Atopobium_1
N1399	g__Solirubrobacter
N1407	s__Fusobacterium nucleatum
N1411	s__Thermovirga lienii
N1414	g__Jonquetella
N1416	g__Kosmotoga
N1418	g__Marinitoga
N1419	g__Petrotoga
N1420	g__Thermosipho
N1421	g__Fervidobacterium
N1423	g__Thermotoga
N1425	o__Thermoanaerobacterales_3; f__Thermoanaerobacteraceae_2; g__Thermacetogenium
N1426	o__Clostridiales_6; f__Syntrophomonadaceae
N1435	g__Acidaminococcus
N1442	f__Thermoanaerobacterales Family III. Incertae Sedis_1; g__Thermoanaerobacterium
N1443	f__Thermoanaerobacteraceae
N1446	c__Clostridia_8; o__Clostridiales_5; f__Eubacteriaceae
N1458	o__Bacillales
N1460	s__Leptospira santarosai
N1462	s__Leptospira kirschneri
N1463	s__Leptospira interrogans
N1480	c__Phycisphaerae; o__Phycisphaerales
N1481	c__Planctomycetia; o__Planctomycetales
N1483	c__Lentisphaeria
N1484	c__Opitutae
N1495	f__Gemmatimonadaceae
N1500	c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacteraceae
N1512	o__Desulfurobacteriales; f__Desulfurobacteriaceae; g__Desulfurobacterium
N1513	o__Aquificales
N1516	f__Helicobacteraceae; g__Helicobacter
N1520	o__Holosporales_1; f__Holosporaceae; g__Holospora
N1523	c__Acidithiobacillia
N1525	p__candidate division NC10
N1527	g__Leptospirillum
N1531	p__Proteobacteria_6; c__Deltaproteobacteria_4; o__Syntrophobacterales
N1534	o__Myxococcales
N1537	g__Nitrososphaera
N1540	o__; f__; g__Candidatus Nitrosotenuis
N1548	g__Staphylothermus
N1552	g__Sulfolobus_1
N1553	s__Sulfolobus acidocaldarius
N1555	s__Methanobacterium formicicum
N1565	g__Halorhabdus
N1572	g__Methanolacinia
N1585	f__; g__
N1618	p__Candidatus Roizmanbacteria
N1621	p__Candidatus Chisholmbacteria
N1624	p__Candidatus Collierbacteria
N1639	o__Candidatus Peribacterales
N1653	p__Candidatus Magasanikbacteria
N1654	p__Candidatus Uhrbacteria
N1691	f__Synechococcaceae_1
N1692	f__Prochloraceae; g__Prochlorococcus
N1694	o__Synechococcales_5; f__Synechococcaceae_2; g__Synechococcus_1
N1697	s__Denitrobacterium detoxificans
N1702	s__Collinsella aerofaciens
N1704	g__Atopobium
N1712	o__Frankiales; f__Frankiaceae; g__Frankia
N1726	g__Pseudothermotoga
N1732	g__Carboxydothermus
N1741	g__Phascolarctobacterium
N1746	g__Megamonas
N1749	g__Caldanaerobacter; s__Caldanaerobacter subterraneus
N1750	g__Thermoanaerobacter
N1756	c__Clostridia_3; o__Clostridiales_2
N1763	g__Alicyclobacillus
N1765	f__Thermoactinomycetaceae
N1769	f__Sporolactobacillaceae
N1771	o__Bacillales_2
N1785	s__Treponema endosymbiont of Eucomonympha sp.
N1796	f__Planctomycetaceae
N1799	o__Opitutales
N1800	o__Puniceicoccales; f__Puniceicoccaceae
N1801	c__Verrucomicrobiae_1; o__Verrucomicrobiales_1; f__Verrucomicrobia subdivision 3
N1803	o__Parachlamydiales
N1805	s__Chlamydia trachomatis
N1821	p__Candidatus Latescibacteria
N1822	p__candidate division Zixibacteria
N1835	f__Hydrogenothermaceae
N1836	f__Aquificaceae
N1840	f__Campylobacteraceae
N1848	o__Acidithiobacillales; f__Acidithiobacillaceae
N1850	c__Gammaproteobacteria
N1852	p__Candidatus Schekmanbacteria
N1853	p__Nitrospinae; c__Nitrospinia; o__Nitrospinales; f__Nitrospinaceae
N1861	p__Proteobacteria_3; c__Deltaproteobacteria_1; o__Desulfovibrionales
N1881	o__Desulfurococcales_1; f__Pyrodictiaceae
N1884	g__Metallosphaera
N1891	s__Methanobrevibacter smithii
N1893	g__Halogeometricum
N1894	g__Haloquadratum
N1897	g__Halostagnicola
N1899	s__Methanoculleus bourgensis
N1901	s__Methanoculleus marisnigri
N1911	s__Chloroflexi bacterium oral taxon 439
N1912	f__Anaerolineaceae
N1948	p__Candidatus Pacebacteria
N2007	p__Candidatus Ryanbacteria
N2008	p__Candidatus Giovannonibacteria
N2018	s__Prochlorococcus marinus
N2021	s__Synechococcus elongatus
N2022	o__Synechococcales_3
N2025	g__Enterorhabdus
N2028	s__Atopobium minutum
N2032	s__Ferrimicrobium acidiphilum
N2035	g__Ilumatobacter
N2036	g__Acidimicrobium
N2049	g__Thermanaerovibrio
N2050	g__Cloacibacillus
N2051	s__Jonquetella anthropi
N2053	g__Aminobacterium
N2055	s__Petrotoga mobilis
N2058	s__Thermotoga neapolitana
N2062	s__Thermacetogenium phaeum
N2063	g__Syntrophomonas
N2065	g__Moorella
N2075	s__Phascolarctobacterium succinatutens
N2077	s__Acidaminococcus fermentans
N2081	g__Anaerovibrio
N2086	g__Candidatus Arthromitus
N2089	c__Clostridia_6; o__Clostridiales_4
N2090	c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae
N2107	f__Paenibacillaceae
N2108	p__Firmicutes_7; c__Erysipelotrichia_1; o__Erysipelotrichales_1; f__Erysipelotrichaceae_1; g__Turicibacter; s__Turicibacter sanguinis
N2109	p__Tenericutes; c__Mollicutes
N2113	g__Sporolactobacillus
N2114	f__; g__Exiguobacterium
N2116	f__; g__Gemella
N2117	f__Staphylococcaceae
N2118	o__Bacillales_3; f__Listeriaceae
N2119	o__Lactobacillales
N2120	s__Leptospira weilii
N2128	s__Treponema socranskii
N2138	f__Gemmataceae
N2139	f__Isosphaeraceae
N2144	f__Opitutaceae
N2146	g__Coraliomargarita
N2148	c__Methylacidiphilae; o__Methylacidiphilales; f__Methylacidiphilaceae
N2153	s__Chlamydia muridarum
N2154	s__Chlamydia pecorum
N2155	s__Chlamydia pneumoniae
N2158	p__candidate division WOR-3
N2162	g__Gemmatimonas
N2167	g__Fibrobacter
N2180	g__Persephonella
N2181	g__Sulfurihydrogenibium
N2185	g__Sulfurospirillum
N2186	g__Campylobacter
N2191	o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter
N2197	g__Acidithiobacillus
N2199	c__Betaproteobacteria
N2214	p__Proteobacteria_4; c__Deltaproteobacteria_2
N2224	o__; f__
N2225	o__Nitrosopumilales
N2227	g__Desulfurococcus
N2229	o__Desulfurococcales_2; f__Desulfurococcaceae_1; g__Aeropyrum
N2230	o__Acidilobales; f__Acidilobaceae
N2231	g__; s__Sulfolobales archaeon AZ1
N2232	g__Acidianus
N2243	s__Haloquadratum walsbyi
N2244	g__Halorubrum
N2245	g__Haloarcula
N2249	g__Methanolobus
N2250	g__Methanococcoides
N2251	g__Methanohalophilus
N2349	p__Candidatus Wildermuthbacteria
N2351	p__Candidatus Nealsonbacteria
N2352	p__Candidatus Staskawiczbacteria
N2358	p__Candidatus Jorgensenbacteria
N2377	g__Cyanobium
N2384	f__Acaryochloridaceae; g__Acaryochloris
N2385	f__Synechococcaceae_3
N2393	s__Atopobium parvulum
N2394	g__Atopobium_2; s__Atopobium vaginae
N2395	g__Olsenella
N2404	o__Geodermatophilales
N2406	o__Nakamurellales; f__Nakamurellaceae; g__Nakamurella
N2408	o__Jiangellales; f__Jiangellaceae; g__Jiangella
N2409	o__Propionibacteriales
N2411	o__Kineosporiales; f__Kineosporiaceae
N2412	o__Micrococcales_1
N2413	o__Micrococcales
N2417	s__Pseudothermotoga lettingae
N2419	s__Thermotoga maritima
N2422	g__Desulfotomaculum
N2423	g__Desulfitibacter
N2428	s__Veillonella parvula
N2430	g__Pelosinus
N2437	g__Proteiniclasticum
N2438	g__Clostridium
N2439	g__Acetobacterium
N2445	f__Clostridiales Family XIII. Incertae Sedis; g__Eubacterium
N2452	f__Christensenellaceae
N2454	f__Ruminococcaceae_1
N2458	f__Lachnospiraceae
N2466	o__Acholeplasmatales_1; f__; g__
N2470	p__Tenericutes_1; c__Mollicutes_1
N2471	p__Firmicutes_4; c__Erysipelotrichia; o__Erysipelotrichales
N2475	f__Bacillaceae_2
N2480	g__Brochothrix
N2481	g__Listeria
N2488	s__Treponema bryantii
N2512	c__Verrucomicrobiae; o__Verrucomicrobiales
N2513	f__Waddliaceae; g__Waddlia; s__Waddlia chondrophila
N2514	f__Parachlamydiaceae
N2528	p__Calditrichaeota; c__Calditrichae; o__Calditrichales; f__Calditrichaceae
N2529	p__Candidatus Marinimicrobia
N2536	c__Solibacteres; o__Solibacterales
N2537	c__Acidobacteriia; o__Acidobacteriales
N2548	f__Campylobacteraceae_1; g__Arcobacter
N2554	o__Rickettsiales
N2567	g__Nitrospina
N2570	s__Leptospirillum ferriphilum
N2576	p__Candidatus Dadabacteria
N2577	p__Proteobacteria_5; c__Deltaproteobacteria_3
N2581	p__Thermodesulfobacteria; c__Thermodesulfobacteria; o__Thermodesulfobacteriales
N2582	p__Proteobacteria_7; c__Deltaproteobacteria_5; o__Desulfobacterales_1
N2588	o__Bdellovibrionales
N2589	f__Nannocystaceae
N2590	f__Polyangiaceae
N2593	g__Candidatus Nitrosopelagicus
N2594	f__Nitrosopumilaceae
N2595	s__Vulcanisaeta distributa
N2598	g__Pyrodictium
N2599	s__Aeropyrum camini
N2600	g__Acidilobus
N2602	s__Sulfolobus solfataricus
N2603	s__Sulfolobus islandicus
N2618	s__Methanococcoides methylutens
N2624	s__Methanosarcina mazei
N2625	g__Leptolinea
N2626	g__Bellilinea
N2709	p__Candidatus Wolfebacteria
N2739	o__Synechococcales_7; f__Pseudanabaenaceae_1; g__Limnothrix
N2755	f__Geodermatophilaceae
N2758	o__Corynebacteriales
N2761	o__Streptosporangiales
N2767	o__Micrococcales_3; f__Dermabacteraceae
N2780	g__Caloramator
N2782	s__Proteiniclasticum ruminis
N2794	f__Peptostreptococcaceae
N2812	g__Aneurinibacillus
N2813	g__Brevibacillus
N2819	o__; f__; g__Candidatus Izimaplasma
N2820	o__Acholeplasmatales
N2823	o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma
N2824	o__Entomoplasmatales
N2826	f__Erysipelotrichaceae
N2827	s__Exiguobacterium aurantiacum
N2834	g__Staphylococcus
N2837	f__Carnobacteriaceae
N2853	g__Planctopirus
N2863	g__Methylacidiphilum
N2864	c__Spartobacteria
N2876	s__Chlamydia gallinacea
N2878	s__Chlamydia psittaci
N2883	g__Caldithrix
N2889	p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae
N2895	f__Acidobacteriaceae
N2897	g__Hydrogenobacter; s__Hydrogenobacter thermophilus
N2898	g__Thermocrinis
N2914	s__Candidatus Pelagibacter ubique
N2917	f__Anaplasmataceae
N2923	s__Acidithiobacillus thiooxidans
N2924	o__Neisseriales
N2926	o__Rhodocyclales; f__Rhodocyclaceae
N2927	o__Burkholderiales
N2942	g__Thermodesulfovibrio
N2945	o__Desulfuromonadales
N2949	f__Desulfonatronaceae; g__Desulfonatronum
N2950	f__Desulfovibrionaceae
N2951	f__Thermodesulfobacteriaceae
N2953	f__Desulfobulbaceae
N2960	f__Bdellovibrionaceae; g__Bdellovibrio
N2961	f__Bacteriovoracaceae
N2965	f__Anaeromyxobacteraceae; g__Anaeromyxobacter
N2970	g__Candidatus Nitrosoarchaeum
N2976	s__Metallosphaera sedula
N2989	g__Natrialba
N2990	g__Natronococcus
N2995	s__Methanohalophilus halophilus
N2999	s__Methanosarcina siciliae
N3003	s__Leptolinea tardivitalis
N3084	p__Candidatus Nomurabacteria
N3099	g__Thermosynechococcus
N3103	o__Synechococcales_1
N3105	s__Atopobium rimae
N3110	s__Olsenella umbonata
N3111	s__Olsenella uli
N3117	g__Modestobacter
N3119	o__Glycomycetales; f__Glycomycetaceae
N3120	o__Micromonosporales; f__Micromonosporaceae
N3121	o__Pseudonocardiales_1; f__Pseudonocardiaceae_1
N3125	f__Propionibacteriaceae
N3126	f__Nocardioidaceae
N3127	f__Nocardiopsaceae
N3130	f__Intrasporangiaceae_1
N3132	f__Brevibacteriaceae; g__Brevibacterium
N3133	f__Micrococcaceae
N3134	f__Microbacteriaceae
N3136	o__Micrococcales_2
N3144	g__Desulfitobacterium
N3146	g__Selenomonas_1
N3155	f__
N3156	f__Clostridiaceae_3
N3158	g__Peptoniphilus
N3163	f__Clostridiaceae_1
N3182	s__Alicyclobacillus hesperidum
N3188	s__Brevibacillus laterosporus
N3191	g__Paenibacillus_1
N3207	s__Exiguobacterium enclense
N3208	g__Fictibacillus
N3211	f__Bacillaceae_1
N3220	g__Carnobacterium
N3221	f__Carnobacteriaceae_1
N3224	f__Lactobacillaceae; g__Lactobacillus
N3239	f__Rubritaleaceae
N3240	f__Akkermansiaceae; g__Akkermansia
N3262	p__Ignavibacteriae
N3266	p__Bacteroidetes
N3287	f__
N3288	f__Helicobacteraceae_1
N3295	f__Candidatus Midichloriaceae
N3299	o__Holosporales; f__Candidatus Paracaedibacteraceae
N3306	s__Acidithiobacillus ferrivorans
N3311	o__Ferrovales; f__Ferrovaceae; g__Ferrovum
N3320	o__Thiotrichales
N3321	o__Legionellales
N3329	g__Nitrospira
N3335	f__Desulfuromonadaceae
N3336	f__Geobacteraceae
N3339	f__Desulfomicrobiaceae
N3340	f__Desulfohalobiaceae
N3343	g__Desulfovibrio
N3344	g__Thermodesulfatator
N3347	g__Desulfobulbus
N3349	o__Desulfarculales
N3350	o__Syntrophobacterales_1; f__Syntrophaceae_1
N3351	o__Syntrophobacterales_2; f__Syntrophobacteraceae
N3352	o__Desulfobacterales
N3362	s__Candidatus Nitrosoarchaeum limnia
N3364	g__Nitrosopumilus
N3384	s__Methanosarcina thermophila
N3386	s__Methanosarcina barkeri
N3451	p__Candidatus Harrisonbacteria
N3453	p__Candidatus Liptonbacteria
N3483	f__Leptolyngbyaceae; g__Phormidesmis
N3484	o__Oscillatoriales_2; f__Coleofasciculaceae; g__Geitlerinema
N3497	g__Pseudonocardia
N3499	o__Pseudonocardiales; f__Pseudonocardiaceae
N3500	f__Dietziaceae; g__Dietzia
N3502	f__Segniliparaceae; g__Segniliparus
N3506	g__Kribbella
N3508	g__Nocardiopsis
N3509	f__Thermomonosporaceae
N3510	f__Streptosporangiaceae
N3511	o__Catenulisporales
N3512	o__Streptomycetales; f__Streptomycetaceae
N3523	g__Brachybacterium
N3524	f__Demequinaceae
N3526	o__Bifidobacteriales
N3527	o__Actinomycetales; f__Actinomycetaceae
N3528	s__Syntrophomonas wolfei
N3534	g__Desulfosporosinus
N3544	g__Gottschalkia
N3550	g__Anaerococcus
N3553	g__Alkaliphilus
N3554	f__Clostridiales Family XII. Incertae Sedis
N3558	g__Peptoclostridium
N3561	g__Ruminiclostridium
N3562	g__Pseudobacteroides
N3567	f__Lachnospiraceae_1
N3568	f__; g__Epulopiscium
N3570	g__Anaerostipes
N3582	g__Gorillibacterium
N3584	g__Cohnella
N3589	s__Acholeplasmatales bacterium DTU067
N3595	f__Entomoplasmataceae
N3596	f__Spiroplasmataceae; g__Spiroplasma
N3600	g__Erysipelothrix
N3605	g__Bacillus_1
N3610	g__Jeotgalicoccus
N3611	g__Salinicoccus
N3621	g__Trichococcus
N3622	f__Carnobacteriaceae_2
N3623	f__Aerococcaceae
N3624	f__Enterococcaceae
N3625	f__Streptococcaceae
N3628	f__Lactobacillaceae_2; g__Lactobacillus_2
N3632	f__Candidatus Brocadiaceae
N3640	s__Akkermansia glycaniphila
N3652	s__Fibrobacter succinogenes
N3659	c__Ignavibacteria; o__Ignavibacteriales; f__Melioribacteraceae
N3661	p__Candidatus Kryptonia; c__; o__; f__
N3664	p__Bacteroidetes_1; c__; o__Bacteroidetes Order II. Incertae sedis; f__Rhodothermaceae
N3665	p__Balneolaeota; c__Balneolia; o__Balneolales
N3680	s__Campylobacter coli
